"","date","plot_id","spei12","year","month","spei18","spei24"
"18344","1966-08-16","GUA05",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18345","1966-08-16","GUA04",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18346","1966-08-16","GUA07",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18347","1966-08-16","GUA09",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18348","1966-08-16","GUA08",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18349","1966-08-16","NAV11",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18350","1966-08-16","NAV05",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18351","1966-08-16","NAV04",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18352","1966-08-16","NAV06",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18353","1966-08-16","NAV07",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18354","1966-08-16","NAV08",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18355","1966-08-16","NAV09",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18356","1966-08-16","NAV03",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18357","1966-08-16","NAV10",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18358","1966-08-16","NAV02",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18359","1966-08-16","NAV01",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18360","1966-08-16","PEL01",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18361","1966-08-16","PEL02",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18362","1966-08-16","PEL03",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18363","1966-08-16","PEL04",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18364","1966-08-16","PEL05",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18365","1966-08-16","PEL06",1.66616523265839,1966,8,0.614379703998566,-0.022232161834836
"18366","1966-08-16","SAR05",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18367","1966-08-16","SAR04",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18368","1966-08-16","SAR03",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18369","1966-08-16","SAR02",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18370","1966-08-16","SAR06",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18371","1966-08-16","SAR01",1.41725718975067,1966,8,0.936037182807922,1.01998043060303
"18372","1966-08-16","BAS06",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18373","1966-08-16","BAS05",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18374","1966-08-16","BAS04",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18375","1966-08-16","BAS03",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18376","1966-08-16","BAS02",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18377","1966-08-16","BAS01",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18378","1966-08-16","URZ06",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18379","1966-08-16","URZ05",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18380","1966-08-16","URZ04",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18381","1966-08-16","OZA06",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18382","1966-08-16","OZA05",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18383","1966-08-16","OZA04",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18384","1966-08-16","OZA03",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18385","1966-08-16","OZA02",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18386","1966-08-16","RON01",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18387","1966-08-16","RON02",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18388","1966-08-16","RON05",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18389","1966-08-16","RON04",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18390","1966-08-16","URZ03",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18391","1966-08-16","URZ02",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18392","1966-08-16","URZ01",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18393","1966-08-16","RON03",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18394","1966-08-16","RON06",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18395","1966-08-16","OZA01",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18396","1966-08-16","FAG01",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18397","1966-08-16","FAG02",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18398","1966-08-16","FAG03",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18399","1966-08-16","FAG04",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18400","1966-08-16","FAG05",0.516272306442261,1966,8,-0.144940659403801,0.49653822183609
"18401","1966-09-16","ADO02",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18402","1966-09-16","ADO03",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18403","1966-09-16","ADO01",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18404","1966-09-16","CED01",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18405","1966-09-16","CED06",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18406","1966-09-16","CED02",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18407","1966-09-16","CED03",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18408","1966-09-16","CED04",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18409","1966-09-16","CED05",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18410","1966-09-16","COR04",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18411","1966-09-16","COR02",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18412","1966-09-16","COR01",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18413","1966-09-16","COR03",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18414","1966-09-16","COR05",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18415","1966-09-16","COR06",-0.342005968093872,1966,9,-1.17085516452789,-0.620656609535217
"18416","1966-09-16","TRA01",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18417","1966-09-16","TRA04",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18418","1966-09-16","TRA02",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18419","1966-09-16","TRA03",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18420","1966-09-16","ALU07",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18421","1966-09-16","ALU08",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18422","1966-09-16","ALU06",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18423","1966-09-16","ALU01",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18424","1966-09-16","ALU02",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18425","1966-09-16","ALU03",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18426","1966-09-16","ALU04",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18427","1966-09-16","ALU05",0.237701594829559,1966,9,-0.841156005859375,-0.416253834962845
"18428","1966-09-16","GUA15",1.53341889381409,1966,9,0.587390303611755,0.274992674589157
"18429","1966-09-16","GUA14",1.53341889381409,1966,9,0.587390303611755,0.274992674589157
"18430","1966-09-16","GUA12",1.53341889381409,1966,9,0.587390303611755,0.274992674589157
"18431","1966-09-16","GUA13",1.53341889381409,1966,9,0.587390303611755,0.274992674589157
