"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"308","Pinpine_hotspot","Abialba_hotspot",4.33097957209891e-12,"Rt22","vuln"
"309","Pinsylv_coldspot","Abialba_hotspot",1.86182983237685e-11,"Rt22","vuln"
"310","Pinsylv_hotspot","Abialba_hotspot",3.46023921373455e-09,"Rt22","vuln"
"311","Abialba_hotspot","Pinpine_coldspot",NA,"Rt22","vuln"
"312","Pinpine_coldspot","Pinpine_coldspot",NA,"Rt22","vuln"
"313","Pinpine_hotspot","Pinpine_coldspot",1,"Rt22","vuln"
"314","Pinsylv_coldspot","Pinpine_coldspot",0.0242640874938681,"Rt22","vuln"
"315","Pinsylv_hotspot","Pinpine_coldspot",0.0994234752813372,"Rt22","vuln"
"316","Abialba_hotspot","Pinpine_hotspot",NA,"Rt22","vuln"
"317","Pinpine_coldspot","Pinpine_hotspot",NA,"Rt22","vuln"
"318","Pinpine_hotspot","Pinpine_hotspot",NA,"Rt22","vuln"
"319","Pinsylv_coldspot","Pinpine_hotspot",1.61904334596265e-07,"Rt22","vuln"
"320","Pinsylv_hotspot","Pinpine_hotspot",2.28106585268206e-06,"Rt22","vuln"
"321","Abialba_hotspot","Pinsylv_coldspot",NA,"Rt22","vuln"
"322","Pinpine_coldspot","Pinsylv_coldspot",NA,"Rt22","vuln"
"323","Pinpine_hotspot","Pinsylv_coldspot",NA,"Rt22","vuln"
"324","Pinsylv_coldspot","Pinsylv_coldspot",NA,"Rt22","vuln"
"325","Pinsylv_hotspot","Pinsylv_coldspot",1,"Rt22","vuln"
"326","Abialba_hotspot","Abialba_coldspot",0.265458984365512,"Rs12","vuln"
"327","Pinpine_coldspot","Abialba_coldspot",0.000200114906139815,"Rs12","vuln"
"328","Pinpine_hotspot","Abialba_coldspot",9.50506003466143e-07,"Rs12","vuln"
"329","Pinsylv_coldspot","Abialba_coldspot",0.333019793103853,"Rs12","vuln"
"330","Pinsylv_hotspot","Abialba_coldspot",0.0711840530099253,"Rs12","vuln"
"331","Abialba_hotspot","Abialba_hotspot",NA,"Rs12","vuln"
"332","Pinpine_coldspot","Abialba_hotspot",0.0022599232634213,"Rs12","vuln"
"333","Pinpine_hotspot","Abialba_hotspot",2.46423526042445e-05,"Rs12","vuln"
